Provider Name,Program,Website,Contact Name,Contact Position,Phone,Fax Number,Contact Email,Address,City,State,Zip Code,Address Line 2,Description
Project Destiny,After School Activities,,,,(412) 231-1258,(412) 586-4589,contactsummary@projectdestinypgh.org,2200 California Avenue,Pittsburgh,PA,15212,,
YMCA,After School Activities,,,,,,,,,,,,
Sarah Heinz House,After School Activities,,,,412-231-2377,,,,,,15212,,
Project Silk,After School Activities,https://chscorp.org/service-area/program/project-silk,Jessica Burdick,Director of Youth Programs,412-532-2128,,jburdick@chscorp.org,304 Wood Street,Pittsburgh,PA,15222,,
The Pittsburgh Project,After School Activities,,,,(412) 321-1678,,,,,,,,
Allegheny Partners for Out-of-School Time (APOST),After School Activities,https://www.afterschoolpgh.org/,,,412-456-6876,,,1250 Penn Ave.,Pittsburgh,PA,15230,,
OVR Blind & Vision Rehabilitation Services of Pittsburgh,Disability,,,,(412) 368-4400,,,531 Penn Avenue,Pittsburgh,PA,15222,,
Disability Rights Network,Disability,,,,412-391-5225,,,,,,,,
PA Office of Vocational Rehabilitation,Disability,,,,412-392-4950,,,,,,,,
Three Rivers Center for Independent Living,Disability,,,,412-371-7700,,,,,,,,
ACTION Housing: Accessibility Modification Program,Disability,,,,412-281-2102 ext.2036,,,,,,,,
Achieva,Disability,,,,412-995-5000,,,,,,,,
AHEDD,Disability,,,,412-381-3313,,,,,,,,
Pennsylvania LINK to Aging and Disability Resources,Disability,,,,800-753-8827,,,,,,,,
Healthy Start,Early Childhood Care (0-5 yrs),hsipgh.org,Thelma Jackson,,412-247-1000,,tjackson@hsipgh.org,400 N Lexington Street,Pittsburgh,PA,15208,,
Angel’s Place,Early Childhood Care (0-5 yrs),,,,412-321-4447,,,,,,,,
Cribs for Kids,Early Childhood Care (0-5 yrs),,,,412-322-5680,,,,,,,,
Alliance for Infants and Toddlers,Early Childhood Care (0-5 yrs),,,,412-885-6000,,,,,,,,
"Every Child Inc., Special Needs",Early Childhood Care (0-5 yrs),,,,412-665-0600,,,,,,,,
YWCA: Early Learning Resource Center,Early Childhood Care (0-5 yrs),https://www.ywcapgh.org/programs/child-care-information-services,,,412- 261-2273 (CARE),(412) 246-4543,,,,,,,
Training Wheels Childcare Center,Early Childhood Care (0-5 yrs),http://trainingwheelskids.org,,,412-322-0585,,,1214 Liverpool St,Pittsburgh,PA,15233,,
HACP GED Program,Education,,,,412-456-5000,,,,,,,,
Literacy Pittsburgh,Education,,,,412-393-7600,,,,,,,,
Auberle,Employment,auberle.org,Ashley Pesi,,412-673-5800,,ashleyp@auberle.org,1101 Hartman St,McKeesport,PA,15132,,
Urban Impact,Employment,,,,412-321-3811,,,,,,,,
"Career Link, Pittsburgh",Employment,,,,412-552-7100,,,,,,,,
Braddock Employment Training Center,Employment,,,,412-273-6450,,,,,,,,
"Ticket to Work, Social Security Administration",Employment,,,,866-9698-7842,,,,,,,,
